Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
True Sansha Warp Disruptor,14248,5.0,jita,C-J6MT,125100000.0,130000000.0,14140000.0,159900000.0,1200,-110966000.0,-115866000.0,34794000.0,29894000.0,-0.8869758444838777,-0.8912357891174254,0.2781161574984413,0.2299432333892282,2025-11-02 06:29:54.307959
Pithum A-Type EM Shield Amplifier,19231,5.0,jita,C-J6MT,86110000.0,93950000.0,21810000.0,115600000.0,1200,-64306000.0,-72146000.0,29484000.0,21644000.0,-0.7467369594500441,-0.7678700668397973,0.3423754006224163,0.23036314870790583,2025-11-02 06:29:54.160999
Zor's Custom Navigation Hyper-Link,24663,1.0,jita,C-J6MT,84300000.0,90000000.0,0.0,99990000.0,1200,-84301200.0,-90001200.0,15688800.0,9988800.0,-1.0,-1.0,0.18610411239697655,0.11098518686417515,2025-11-02 06:29:54.325809
Warp Disruption Field Generator II,4248,50.0,jita,C-J6MT,3627000.0,11880000.0,5013000.0,16420000.0,1200,1326000.0,-6927000.0,12733000.0,4480000.0,0.3596419853539463,-0.5801507537688442,3.4534852183346896,0.37520938023450584,2025-11-02 06:29:54.314666
Federation Navy Stasis Webifier,17559,5.0,jita,C-J6MT,49300000.0,54460000.0,40740000.0,58890000.0,1200,-8566000.0,-13726000.0,9584000.0,4424000.0,-0.17373139171703242,-0.25201042852421696,0.19437796617044578,0.08122498439393383,2025-11-02 06:29:53.969127
Republic Fleet Medium Shield Extender,31928,10.0,jita,C-J6MT,16450000.0,18250000.0,6211000.0,23830000.0,1200,-10251000.0,-12051000.0,7368000.0,5568000.0,-0.6227068399951403,-0.6598948636512978,0.447576236180294,0.30489541123644726,2025-11-02 06:29:54.200931
Republic Fleet Large Shield Extender,31932,20.0,jita,C-J6MT,29130000.0,31810000.0,27190000.0,36460000.0,1200,-1964000.0,-4644000.0,7306000.0,4626000.0,-0.06736639912190437,-0.14588176163849972,0.2506002606846402,0.14531632845385437,2025-11-02 06:29:54.198659
Agency 'Overclocker' SB7 Dose III,46006,1.0,jita,C-J6MT,9535000.0,10440000.0,8012000.0,16350000.0,1200,-1524200.0,-2429200.0,6813800.0,5908800.0,-0.15983305719259244,-0.2326552503543654,0.7145194102472683,0.5659119641420527,2025-11-02 06:29:53.849347
Eifyr and Co. 'Rogue' Navigation NN-603,13237,1.0,jita,C-J6MT,15670000.0,17800000.0,20000000.0,21050000.0,1200,4328800.0,2198800.0,5378800.0,3248800.0,0.27622645362193066,0.12351976271262612,0.34322834243708206,0.18250455025503898,2025-11-02 06:29:53.955538
Medium Core Defense Field Extender II,31796,10.0,jita,C-J6MT,13500000.0,14860000.0,12660000.0,16990000.0,1200,-852000.0,-2212000.0,3478000.0,2118000.0,-0.0630550621669627,-0.14873587950511027,0.257400828892836,0.14241527703066165,2025-11-02 06:29:54.071417
Defender Launcher I,44102,5.0,jita,C-J6MT,5738000.0,7098000.0,3097000.0,8959000.0,1200,-2647000.0,-4007000.0,3215000.0,1855000.0,-0.4608286908077994,-0.5640484234234234,0.5597144846796658,0.2611204954954955,2025-11-02 06:29:53.937488
Medium Proton Smartbomb II,3939,10.0,jita,C-J6MT,55880.0,899000.0,2330.0,3100000.0,1200,-65550.0,-908670.0,3032120.0,2189000.0,-0.965674720094284,-0.9974423710208562,44.668827342368886,2.402854006586169,2025-11-02 06:29:54.096505
Large Ancillary Remote Shield Booster,41482,25.0,jita,C-J6MT,800300.0,2488000.0,2000000.0,3420000.0,1200,1169700.0,-518000.0,2589700.0,902000.0,1.4087679152113695,-0.2057188244638602,3.1189931350114417,0.358220810166799,2025-11-02 06:29:54.034926
Medium EM Shield Reinforcer II,31724,10.0,jita,C-J6MT,3194000.0,3464000.0,2502000.0,5723000.0,1200,-704000.0,-974000.0,2517000.0,2247000.0,-0.2195882719900187,-0.2802071346375144,0.7850904553961322,0.6464326812428078,2025-11-02 06:29:54.075988
Heavy Energy Neutralizer II,12271,5.0,jita,C-J6MT,5193000.0,6040000.0,3615000.0,7187000.0,1200,-1584000.0,-2431000.0,1988000.0,1141000.0,-0.3046739757645701,-0.40208402249421105,0.382381227159069,0.18871981475355606,2025-11-02 06:29:53.989666
Medium Plasma Smartbomb II,3949,10.0,jita,C-J6MT,100100.0,897100.0,233.0,1889000.0,1200,-111867.0,-908867.0,1776900.0,979900.0,-0.997921498661909,-0.9997437025629744,15.851025869759143,1.077879221207788,2025-11-02 06:29:54.094299
1400mm Howitzer Artillery II,2961,20.0,jita,C-J6MT,6203000.0,6826000.0,5631000.0,7900000.0,1200,-596000.0,-1219000.0,1673000.0,1050000.0,-0.09571222097318131,-0.17795620437956206,0.26866870081901395,0.15328467153284672,2025-11-02 06:29:53.815004
Small Particle Dispersion Projector II,31304,5.0,jita,C-J6MT,1259000.0,2344000.0,200000.0,2909000.0,1200,-1065000.0,-2150000.0,1644000.0,559000.0,-0.841897233201581,-0.9148936170212766,1.299604743083004,0.2378723404255319,2025-11-02 06:29:54.265555
Agency 'Pyrolancea' DB3 Dose I,45998,1.0,jita,C-J6MT,3656000.0,3974000.0,3801000.0,4868000.0,1200,143800.0,-174200.0,1210800.0,892800.0,0.039319698129716724,-0.04382169450593681,0.3310729519851252,0.224592473334675,2025-11-02 06:29:53.851670
Small Core Defense Field Extender II,31794,5.0,jita,C-J6MT,4947000.0,6201000.0,3204000.0,6112000.0,1200,-1749000.0,-3003000.0,1159000.0,-95000.0,-0.35311932162325865,-0.48380860318994684,0.23399959620432062,-0.015305300467214435,2025-11-02 06:29:54.256499
Gravimetric ECM II,2571,5.0,jita,C-J6MT,1287000.0,1449000.0,254000.0,2393000.0,1200,-1039000.0,-1201000.0,1100000.0,938000.0,-0.8035576179427688,-0.8254295532646048,0.8507347254447022,0.6446735395189004,2025-11-02 06:29:53.980504
Magnetometric ECM II,2563,5.0,jita,C-J6MT,1157000.0,1380000.0,25030.0,2192000.0,1200,-1137970.0,-1360970.0,1029000.0,806000.0,-0.9784780739466896,-0.9819408369408369,0.884780739466896,0.5815295815295816,2025-11-02 06:29:54.060008
Large Core Defense Field Extender I,26088,20.0,jita,C-J6MT,3347000.0,3487000.0,3200000.0,4342000.0,1200,-171000.0,-311000.0,971000.0,831000.0,-0.05072678730347078,-0.08857875249216747,0.28804509047760307,0.23668470521219026,2025-11-02 06:29:54.039494
Ladar ECM II,2559,5.0,jita,C-J6MT,1028000.0,1567000.0,444500.0,1997000.0,1200,-589500.0,-1128500.0,963000.0,424000.0,-0.5701160541586073,-0.717418944691672,0.9313346228239845,0.26954863318499683,2025-11-02 06:29:54.032586
Synth Frentix Booster,28678,1.0,jita,C-J6MT,3710000.0,4191000.0,2330000.0,4670000.0,1200,-1381200.0,-1862200.0,958800.0,477800.0,-0.37217072644966587,-0.4442059062067649,0.2583530933390817,0.11397356996326512,2025-11-02 06:29:54.285591
Missile Guidance Computer II,35790,5.0,jita,C-J6MT,151600.0,1118000.0,900000.0,1113000.0,1200,742400.0,-224000.0,955400.0,-11000.0,4.710659898477157,-0.199288256227758,6.062182741116751,-0.009786476868327402,2025-11-02 06:29:54.110054
