Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
True Sansha Warp Disruptor,14248,5.0,jita,C-J6MT,125100000.0,129900000.0,14140000.0,159900000.0,1200,-110966000.0,-115766000.0,34794000.0,29994000.0,-0.8869758444838777,-0.8911520637999785,0.2781161574984413,0.23089002817421828,2025-11-02 08:24:26.282864
Pithum A-Type EM Shield Amplifier,19231,5.0,jita,C-J6MT,86110000.0,93960000.0,21810000.0,115600000.0,1200,-64306000.0,-72156000.0,29484000.0,21634000.0,-0.7467369594500441,-0.7678947704488858,0.3423754006224163,0.2302322116510227,2025-11-02 08:24:26.132777
Zor's Custom Navigation Hyper-Link,24663,1.0,jita,C-J6MT,84300000.0,90000000.0,0.0,99990000.0,1200,-84301200.0,-90001200.0,15688800.0,9988800.0,-1.0,-1.0,0.18610411239697655,0.11098518686417515,2025-11-02 08:24:26.300831
Warp Disruption Field Generator II,4248,50.0,jita,C-J6MT,3628000.0,11880000.0,5013000.0,16410000.0,1200,1325000.0,-6927000.0,12722000.0,4470000.0,0.35927331887201736,-0.5801507537688442,3.4495661605206074,0.3743718592964824,2025-11-02 08:24:26.289649
Federation Navy Stasis Webifier,17559,5.0,jita,C-J6MT,49340000.0,54450000.0,40790000.0,58000000.0,1200,-8556000.0,-13666000.0,8654000.0,3544000.0,-0.17338791391399505,-0.25095489936829735,0.1753738904875775,0.06508006463934185,2025-11-02 08:24:25.942490
Republic Fleet Medium Shield Extender,31928,10.0,jita,C-J6MT,16460000.0,18240000.0,6211000.0,23820000.0,1200,-10261000.0,-12041000.0,7348000.0,5568000.0,-0.6229358912093249,-0.6597085250931405,0.4460903351141331,0.3050624589086128,2025-11-02 08:24:26.175231
Republic Fleet Large Shield Extender,31932,20.0,jita,C-J6MT,29150000.0,31840000.0,15060000.0,36460000.0,1200,-14114000.0,-16804000.0,7286000.0,4596000.0,-0.48378693357098784,-0.5273663068039166,0.24974292177966684,0.1442380115490836,2025-11-02 08:24:26.172905
Agency 'Overclocker' SB7 Dose III,46006,1.0,jita,C-J6MT,9535000.0,10390000.0,8012000.0,16350000.0,1200,-1524200.0,-2379200.0,6813800.0,5958800.0,-0.15983305719259244,-0.22896296866579413,0.7145194102472683,0.5734467626453152,2025-11-02 08:24:25.820849
Eifyr and Co. 'Rogue' Navigation NN-603,13237,1.0,jita,C-J6MT,15680000.0,17800000.0,20000000.0,21050000.0,1200,4318800.0,2198800.0,5368800.0,3248800.0,0.27541259597479784,0.12351976271262612,0.34237175726347474,0.18250455025503898,2025-11-02 08:24:25.928909
Medium Core Defense Field Extender II,31796,10.0,jita,C-J6MT,13510000.0,14840000.0,12660000.0,17000000.0,1200,-862000.0,-2192000.0,3478000.0,2148000.0,-0.06374796627717794,-0.1475895502289254,0.2572104718236947,0.14462698626447618,2025-11-02 08:24:26.046301
